Fecha publicación;CCAA;Dosis administradas;Porcentaje de dosis administradas por 100 habitantes;Personas con al menos una dosis;Personas con pauta completa;Porcentaje con pauta completa
06/05/2022;España;94485123;199,54;41209244;40439425;85,4
29/04/2022;España;94404832;199,37;41200263;40414329;85,35
22/04/2022;España;94295766;199,14;41188035;40375699;85,27
18/04/2022;España;94223806;198,99;41180591;40349823;85,21
08/04/2022;España;94130811;198,79;41167422;40292719;85,09
25/03/2022;España;93807121;198,11;41134037;40118474;84,72
18/03/2022;España;93571317;197,61;41112436;39976615;84,43
11/03/2022;España;93346089;197,13;41089269;39845453;84,15
04/03/2022;España;92774397;195,93;41083791;39103590;82,58
03/03/2022;España;92726740;195,83;41079854;39083122;82,54
02/03/2022;España;92679676;195,73;41076523;39062167;82,49
01/03/2022;España;92633158;195,63;41073324;39039472;82,45
28/02/2022;España;92591078;195,54;41069645;39022500;82,41
25/02/2022;España;92491319;195,33;41059268;38973675;82,31
24/02/2022;España;92371808;195,08;41034001;38929905;82,21
23/02/2022;España;92337963;195,01;41031519;38917445;82,19
22/02/2022;España;92237054;194,79;41027369;38856131;82,06
21/02/2022;España;92210830;194,74;41037784;38854296;82,05
18/02/2022;España;92121948;194,55;41030936;38834215;82,01
17/02/2022;España;92022504;194,34;41024149;38802554;81,95
16/02/2022;España;91716903;193,69;41016935;38391658;81,08
15/02/2022;España;91619525;193,49;41007734;38385465;81,06
14/02/2022;España;91571654;193,39;41002352;38382155;81,06
11/02/2022;España;91411886;193,05;40986943;38372822;81,04
10/02/2022;España;91316118;192,85;40978740;38366565;81,02
09/02/2022;España;91211425;192,63;40971209;38360610;81,01
08/02/2022;España;91101393;192,39;40965263;38351440;80,99
07/02/2022;España;90943374;192,06;40958312;38327784;80,94
04/02/2022;España;90715373;191,58;40942994;38316906;80,92
03/02/2022;España;90592858;191,32;40936086;38312156;80,91
02/02/2022;España;90449104;191,02;40927320;38305091;80,9
01/02/2022;España;90272896;190,64;40918884;38295449;80,87
31/01/2022;España;90135347;190,35;40911451;38289398;80,86
28/01/2022;España;89717860;189,47;40884275;38283540;80,85
27/01/2022;España;89508239;189,03;40868576;38275164;80,83
26/01/2022;España;89270072;188,53;40848444;38264820;80,81
25/01/2022;España;88984997;187,92;40824542;38253646;80,79
24/01/2022;España;88759314;187,45;40803369;38242161;80,76
21/01/2022;España;88348567;186,58;40750121;38227400;80,73
20/01/2022;España;88000590;185,85;40683950;38212331;80,7
19/01/2022;España;87645324;185,09;40532696;38201057;80,68
18/01/2022;España;87397175;184,57;40484286;38188108;80,65
17/01/2022;España;87153289;184,06;40437079;38173059;80,62
14/01/2022;España;86659109;183,01;40317861;38144506;80,56
13/01/2022;España;86326709;182,31;40240794;38125469;80,52
29/12/2021;España;86237508;182,12;39619870;37865247;79,97
12/01/2022;España;86024996;181,67;40181430;38108556;80,48
28/12/2021;España;85808023;181,21;39567127;37858971;79,95
11/01/2022;España;85731280;181,05;40118975;38093934;80,45
10/01/2022;España;85480089;180,52;40082392;38079025;80,42
27/12/2021;España;85443894;180,45;39511819;37853370;79,94
07/01/2022;España;84998187;179,5;39965876;38052240;80,36
23/12/2021;España;84868049;179,23;39405157;37832328;79,9
05/01/2022;España;84790916;179,07;39931922;38041112;80,34
22/12/2021;España;84521081;178,5;39270983;37815104;79,86
04/01/2022;España;84506437;178,47;39859995;38028178;80,31
03/01/2022;España;84250146;177,92;39807263;38016879;80,29
21/12/2021;España;83909129;177,2;39100658;37799170;79,83
30/12/2021;España;83529797;176,4;39664717;37869504;79,98
20/12/2021;España;83502561;176,35;39010695;37791863;79,81
17/12/2021;España;82518671;174,27;38607797;37777929;79,78
16/12/2021;España;82067448;173,32;38586398;37767016;79,76
15/12/2021;España;81695378;172,53;38567949;37755238;79,73
14/12/2021;España;81104962;171,28;38541413;37742102;79,71
13/12/2021;España;80647211;170,32;38514698;37721347;79,66
10/12/2021;España;77827910;164,36;38488342;37702839;79,62
09/12/2021;España;77653701;163,99;38465787;37684831;79,59
07/12/2021;España;77541843;163,76;38447301;37677168;79,57
03/12/2021;España;77157350;162,95;38409145;37655150;79,52
02/12/2021;España;76899564;162,4;38379778;37638438;79,49
01/12/2021;España;76680144;161,94;38356928;37624032;79,46
30/11/2021;España;76485574;161,53;38339403;37615143;79,44
29/11/2021;España;76123553;160,76;38299758;37586582;79,38
26/11/2021;España;76026523;160,56;38288327;37582174;79,37
25/11/2021;España;75573156;159,6;38281333;37578516;79,36
24/11/2021;España;75377077;159,19;38263801;37567042;79,34
23/11/2021;España;75173640;158,76;38249913;37557243;79,32
22/11/2021;España;74988489;158,37;38237469;37547526;79,3
19/11/2021;España;74683916;157,72;38209702;37519860;79,24
18/11/2021;España;74502145;157,34;38197655;37507587;79,21
17/11/2021;España;74168369;156,63;38177685;37487833;79,17
16/11/2021;España;74034325;156,35;38171026;37480526;79,15
15/11/2021;España;73886784;156,04;38164244;37474324;79,14
12/11/2021;España;73623626;155,48;38144625;37448743;79,09
11/11/2021;España;73347560;154,9;38130715;37431385;79,05
10/11/2021;España;73149785;154,48;38117778;37417377;79,02
08/11/2021;España;72805128;153,75;38100169;37398246;78,98
05/11/2021;España;72594573;153,31;38083061;37375642;78,93
04/11/2021;España;72410731;152,92;38071080;37360864;78,9
03/11/2021;España;72233182;152,55;38059705;37347287;78,87
02/11/2021;España;72058020;152,18;38037531;37317388;78,81
30/10/2021;España;71943760;151,94;38036436;37315511;78,81
28/10/2021;España;71779466;151,59;38013994;37282484;78,74
27/10/2021;España;71393601;150,77;37998740;37263047;78,69
26/10/2021;España;71366561;150,72;37988609;37250048;78,67
25/10/2021;España;71344477;150,67;37979234;37234272;78,63
22/10/2021;España;71275614;150,52;37954027;37199581;78,56
21/10/2021;España;71231804;150,43;37938819;37176352;78,51
20/10/2021;España;71102258;150,16;37908612;37102507;78,36
19/10/2021;España;71072261;150,09;37899559;37086628;78,32
18/10/2021;España;71048577;150,04;37891519;37074146;78,3
15/10/2021;España;70982052;149,9;37868453;37029165;78,2
14/10/2021;España;70919608;149,77;37846897;36994918;78,13
13/10/2021;España;70859558;149,65;37830132;36961165;78,06
11/10/2021;España;70822813;149,57;37816635;36937743;78,01
08/10/2021;España;70699744;149,31;37788299;36867685;77,86
07/10/2021;España;70646137;149,19;37772454;36832362;77,78
06/10/2021;España;70587034;149,07;37755682;36802767;77,72
05/10/2021;España;70279166;148,42;37741414;36771680;77,66
04/10/2021;España;70243260;148,34;37727757;36745965;77,6
01/10/2021;España;70153507;148,15;37702384;36667138;77,44
30/09/2021;España;70083821;148,01;37680085;36613575;77,32
29/09/2021;España;70022100;147,88;37657732;36566753;77,22
28/09/2021;España;69936755;147,7;37632058;36501799;77,09
27/09/2021;España;69867532;147,55;37612369;36447564;76,97
